label,c0,c1,c2
1,0.4061675891838147,0.4385271551493075,0.03228943394417205
5,0.061687227281757684,0.23072348963866463,0.5943677959292054
8,0.13759664018213524,0.27780798475418766,0.3353636048682086
5,0.9892664224119396,0.8558819036863718,0.6193563011573872
3,0.5506701286881067,0.35119462893038655,0.5192194234531052
3,0.1760183898499319,0.9598034765508351,0.35538650758038215
2,0.44081129953304654,0.9904503609380385,0.04707135601157253
5,0.40733104352863436,0.2919145416773632,0.061571780668249865
1,0.3998889952116754,0.0888510596323504,0.33080168200181204
8,0.23892994606763485,0.7341779264057531,0.0954414594424644
