label,c0,c1,c2
4,0.11346645715451786,0.4837648857819308,0.673296502605481
7,0.276537153627881,0.6561521971963528,0.9339931961501715
9,0.9291355628642214,0.28170019889970155,0.8013493029310824
6,0.927649457056279,0.24561449476588637,0.9420265421816136
2,0.8105612866111674,0.5067000044802948,0.6636897750808585
7,0.8776121883985013,0.7784351232930483,0.332944996220503
8,0.09080097104629437,0.06815166318160981,0.9108542623929423
4,0.8988216983150665,0.28451519817008675,0.31017202470334926
7,0.5122111560268122,0.23757590887110902,0.12431133530979066
4,0.4706547627121962,0.7477249259493368,0.1968615492284802
